일자,시간,구,기온,습도,강수량,풍속,미세먼지,date,day
20190201,1800,영등포구,-2.1,74,0,2.1,41,2019-02-01,5
20190201,1900,영등포구,-2.1,70,0,2,41,2019-02-01,5
20190202,700,강서구,1.4,53,0,1.2,65,2019-02-02,6
20190202,800,강서구,1.4,55,0,0.7,65,2019-02-02,6
20190202,1800,강서구,1.4,90,1,1.5,65,2019-02-02,6
20190202,1900,강서구,1.4,94,1,1.1,65,2019-02-02,6
20190202,700,마포구,1.4,56,0,2,66,2019-02-02,6
20190202,800,마포구,1.4,58,0,1.6,66,2019-02-02,6
20190202,1800,마포구,1.4,89,0.5,3.2,66,2019-02-02,6
20190202,1900,마포구,1.4,95,1,3.7,66,2019-02-02,6
20190202,700,송파구,1.4,57,0,0.6,57,2019-02-02,6
20190202,800,송파구,1.4,62,0,0.5,57,2019-02-02,6
20190202,1800,송파구,1.4,91,1.5,0.7,57,2019-02-02,6
20190202,1900,송파구,1.4,93,0.1,1.2,57,2019-02-02,6
20190202,700,영등포구,1.4,56,0,2,61,2019-02-02,6
20190202,800,영등포구,1.4,58,0,1.6,61,2019-02-02,6
20190202,1800,영등포구,1.4,89,0.5,3.2,61,2019-02-02,6
20190202,1900,영등포구,1.4,95,1,3.7,61,2019-02-02,6
20190203,700,강서구,3.3,97,0.5,1.3,40,2019-02-03,7
20190203,800,강서구,3.3,97,0.1,1.9,40,2019-02-03,7
20190203,1800,강서구,3.3,52,0,1.9,40,2019-02-03,7
20190203,1900,강서구,3.3,47,0,1.3,40,2019-02-03,7
20190203,700,마포구,3.3,100,0.5,3.2,43,2019-02-03,7
20190203,800,마포구,3.3,100,0.5,2.9,43,2019-02-03,7
20190203,1800,마포구,3.3,44,0,2.5,43,2019-02-03,7
20190203,1900,마포구,3.3,43,0,1,43,2019-02-03,7
20190203,700,송파구,3.3,98,0.5,1.3,37,2019-02-03,7
20190203,800,송파구,3.3,98,0.5,2.4,37,2019-02-03,7
20190203,1800,송파구,3.3,53,0,2.4,37,2019-02-03,7
20190203,1900,송파구,3.3,51,0,2.2,37,2019-02-03,7
20190203,700,영등포구,3.3,100,0.5,3.2,42,2019-02-03,7
20190203,800,영등포구,3.3,100,0.5,2.9,42,2019-02-03,7
20190203,1800,영등포구,3.3,44,0,2.5,42,2019-02-03,7
20190203,1900,영등포구,3.3,43,0,1,42,2019-02-03,7
20190204,700,강서구,-0.6,34,0,1.4,82,2019-02-04,1
20190204,800,강서구,-0.6,40,0,0.9,82,2019-02-04,1
20190204,1800,강서구,-0.6,55,0,0.4,82,2019-02-04,1
20190204,1900,강서구,-0.6,52,0,1.2,82,2019-02-04,1
20190204,700,마포구,-0.6,31,0,1.9,73,2019-02-04,1
20190204,800,마포구,-0.6,33,0,1.6,73,2019-02-04,1
20190204,1800,마포구,-0.6,56,0,1.8,73,2019-02-04,1
20190204,1900,마포구,-0.6,57,0,2.6,73,2019-02-04,1
20190204,700,송파구,-0.6,27,0,1.8,71,2019-02-04,1
20190204,800,송파구,-0.6,38,0,1.6,71,2019-02-04,1
20190204,1800,송파구,-0.6,70,0,0.6,71,2019-02-04,1
20190204,1900,송파구,-0.6,63,0,0.8,71,2019-02-04,1
20190204,700,영등포구,-0.6,31,0,1.9,68,2019-02-04,1
20190204,800,영등포구,-0.6,33,0,1.6,68,2019-02-04,1
20190204,1800,영등포구,-0.6,56,0,1.8,68,2019-02-04,1
20190204,1900,영등포구,-0.6,57,0,2.6,68,2019-02-04,1
20190205,700,강서구,2.8,21,0,1,93,2019-02-05,2
20190205,800,강서구,2.8,23,0,0.8,93,2019-02-05,2
20190205,1800,강서구,2.8,50,0,0.5,93,2019-02-05,2
20190205,1900,강서구,2.8,48,0,0.8,93,2019-02-05,2
20190205,700,마포구,2.8,22,0,1.7,102,2019-02-05,2
20190205,800,마포구,2.8,24,0,0.2,102,2019-02-05,2
20190205,1800,마포구,2.8,62,0,1.7,102,2019-02-05,2
20190205,1900,마포구,2.8,61,0,2.4,102,2019-02-05,2
20190205,700,송파구,2.8,24,0,0.8,85,2019-02-05,2
20190205,800,송파구,2.8,30,0,0.3,85,2019-02-05,2
20190205,1800,송파구,2.8,71,0,0.1,85,2019-02-05,2
20190205,1900,송파구,2.8,67,0,1.1,85,2019-02-05,2
20190205,700,영등포구,2.8,22,0,1.7,93,2019-02-05,2
